vtk_index,date,body,x_au,y_au,z_au
90,2024-10-13 01:16:02,Mars,-0.09467324505725129,1.5151277500054838,0.03765685735444979
100,2024-10-15 19:45:22,Mercury,-0.07976251544610283,-0.4504673361418096,-0.027036880508065783
100,2024-10-15 19:45:22,Venus,0.49065959971550965,-0.5368552984196947,0.02700813024474276
100,2024-10-15 19:45:22,Earth,0.6787289548379855,0.7232212361169811,0.10068719074848763
100,2024-10-15 19:45:22,Mars,-0.13325849472915563,1.5159345908448898,0.034056999519934836
110,2024-10-18 14:14:42,Mercury,-0.017738162280414714,-0.4620496888900221,-0.027207507562506908
110,2024-10-18 14:14:42,Venus,0.5302622009022566,-0.49780207207745597,0.030056667579154775
110,2024-10-18 14:14:42,Earth,0.6429109364599163,0.7547050389455581,0.09687386381913766
110,2024-10-18 14:14:42,Mars,-0.1717580098388784,1.5157618406076214,0.030435206182388427
120,2024-10-21 08:44:02,Mercury,0.044697845765859806,-0.46307464830355194,-0.026756753708420743
120,2024-10-21 08:44:02,Venus,0.5667404533244884,-0.4558157409074943,0.03292831905382815
120,2024-10-21 08:44:02,Earth,0.6056189987086424,0.7844642697622856,0.09283971651305051
120,2024-10-21 08:44:02,Mars,-0.21014769084750046,1.5146165183611784,0.02679394816871193
130,2024-10-24 03:13:22,Mercury,0.10613362134520987,-0.45370809545218893,-0.02570587547852833
130,2024-10-24 03:13:22,Venus,0.5998809114887749,-0.41114490119741554,0.0356062711981297
130,2024-10-24 03:13:22,Earth,0.5669266076795225,0.8124263199941082,0.08859280740609994
130,2024-10-24 03:13:22,Mars,-0.24840384748751643,1.5125061780188018,0.023135674230315283
140,2024-10-26 21:42:42,Mercury,0.16519741185799625,-0.4342043252095763,-0.024080964832359206
140,2024-10-26 21:42:42,Venus,0.6294895656756433,-0.36405345269115363,0.03807484051885228
140,2024-10-26 21:42:42,Earth,0.5269140262188284,0.8385173565791879,0.0841414596296159
140,2024-10-26 21:42:42,Mars,-0.2865032054935783,1.5094388877495737,0.019462809785919036
150,2024-10-29 16:12:02,Mercury,0.22053119658495607,-0.4049080442923175,-0.02191328273101496
150,2024-10-29 16:12:02,Venus,0.6553928902868288,-0.31481911640232324,0.04031955872410242
150,2024-10-29 16:12:02,Earth,0.4856692387186243,0.8626661181337539,0.079494697051415
150,2024-10-29 16:12:02,Mars,-0.3244229123671176,1.5054232097339322,0.015777755772878113
160,2024-11-01 10:41:22,Mercury,0.270766595474805,-0.3662670053943176,-0.019240196382577675
160,2024-11-01 10:41:22,Venus,0.6774387861527756,-0.26373188565620026,0.04232725161540017
160,2024-11-01 10:41:22,Earth,0.4432870393849678,0.8848061025757638,0.07466237287737462
